pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
6531,IV,nse_cm,,NHIT,NHIT-IV,,NHIT-IV,INE0H7R23014,,,,NATIONAL HIGHW INFRA TRUS,,,1,25000,-1,-1,2,-1,NSE,,,1320969600,,1320969600,0,0,0,0,1433289600,105.96-158.94,0,0,1436122570,,,,,,,,,,CASH,,,,,10000,,,,0,20,,,T+1,315513000,0,1,753434,25000,0,15894,10596,1,1,1,0,0,1,0,1.93685e+09,0,0,753434
6542,BL,nse_cm,,NHIT,NHIT-BL,,NHIT-BL,INE0H7R23014,,,,NATIONAL HIGHW INFRA TRUS,,,1,1,-1,-1,2,-1,NSE,,,1320969600,,1320969600,0,0,0,0,0,131.12-133.77,0,0,1436122468,,,,,,,,,,CASH,,,,,10000,,,,,,,,T+1,315513000,0,1,0,1,0,13377,13112,1,1,1,0,0,1,0,1.93685e+09,0,0,999999999
6543,EQ,nse_cm,,GRPLTD,GRPLTD-EQ,,GRPLTD,INE137I01015,,,,GRP LIMITED,,,10,1,-1,-1,2,-1,NSE,,,1108166400,,1108166400,0,0,1418083200,1418601600,0,2137.00-3205.40,0,0,1436123139,,,,,,,,,,CASH,,,,,1000,,,,0,20,,,T+1,315513000,0,1,37434,1,0,320540,213700,1,1,1,0,0,1,0,5.33333e+06,0,0,37434
6545,EQ,nse_cm,,NYKAA,NYKAA-EQ,,NYKAA,INE388Y01029,,,,FSN E COMMERCE VENTURES,,,1,1,-1,-1,2,-1,NSE,,,1320969600,,1320969600,0,0,0,0,1352592000,178.40-218.05,0,0,1436123139,,,,,,,,,,CASH,,,,,100,,,,0,20,,,T+1,315513000,0,1,503165,1,0,21805,17840,1,1,1,0,0,1,0,2.85889e+09,0,0,503165
6548,BL,nse_cm,,GRPLTD,GRPLTD-BL,,GRPLTD-BL,INE137I01015,,,,GRP LIMITED,,,10,1,-1,-1,2,-1,NSE,,,1108166400,,1108166400,0,0,1418083200,1418601600,0,2644.50-2697.90,0,0,1436122433,,,,,,,,,,CASH,,,,,1000,,,,,,,,T+1,315513000,0,1,0,1,0,269790,264450,1,1,1,0,0,1,0,5.33333e+06,0,0,999999999
3,ST,nse_cm,,GOLDSTAR,GOLDSTAR-ST,,GOLDSTAR-ST,INE405Y01021,,,,GOLDSTAR POWER LIMITED,,,5,11250,-1,-1,2,-1,NSE,,,1192060800,,1192060800,0,0,1411516800,1412035200,0,9.05-9.95,0,0,1436122569,,,,,,,,,,CASH,,,,,100,,,,0,20,,,T+1,315513000,0,1,7871053,11250,0,995,905,1,1,1,0,0,1,0,2.40705e+08,0,0,7871053
4,EQ,nse_cm,,21STCENMGM,21STCENMGM-EQ,,21STCENMGM,INE253B01015,,,,21ST CENTURY MGMT SERVICE,,,1,1,-1,-1,2,-1,NSE,,,484531200,,483926400,0,0,1407024000,1407542400,0,59.87-62.32,0,0,1436122569,,,,,,,,,,CASH,,,,,1000,,,,0,20,,,T+1,315513000,0,1,343350,1,0,6232,5987,1,1,1,0,0,1,0,1.05e+07,0,0,343350
7,EQ,nse_cm,,AARTIIND,AARTIIND-EQ,,AARTIIND,INE769A01020,,,,AARTI INDUSTRIES LTD,,,5,1,-1,-1,2,-1,NSE,,,473040000,,476668800,0,0,0,0,1406419200,428.90-524.20,0,0,1436123139,,,,,,,,,,CASH,,,,,500,,,,0,20,,,T+1,315513000,0,1,209536,1,0,52420,42890,1,1,1,0,0,1,0,3.6252e+08,0,0,209536
6553,BL,nse_cm,,NYKAA,NYKAA-BL,,NYKAA-BL,INE388Y01029,,,,FSN E COMMERCE VENTURES,,,1,1,-1,-1,2,-1,NSE,,,1320969600,,1320969600,0,0,0,0,1352592000,196.24-200.21,0,0,1436122433,,,,,,,,,,CASH,,,,,100,,,,,,,,T+1,315513000,0,1,0,1,0,20021,19624,1,1,1,0,0,1,0,2.85889e+09,0,0,999999999
6556,SG,nse_cm,,694AS31,694AS31-SG,,694AS31-SG,IN1220210125,,,,SDL AS 6.94% 2031,,,1,100,-1,-1,2,-1,NSE,,,1321142400,,1321142400,0,0,0,0,0,95.00-105.00,0,0,1436114511,,,,,,,,,,CASH,,,,,10000,,,,0,20,,,T+1,315513000,0,1,1000000,100,0,10500,9500,1,1,1,0,0,1,0,5e+07,0,0,1000000
6557,SG,nse_cm,,692RJ31,692RJ31-SG,,692RJ31-SG,IN2920210373,,,,SDL RJ 6.92% 2031,,,1,100,-1,-1,2,-1,NSE,,,1321142400,,1321142400,0,0,0,0,0,95.00-105.00,0,0,1436114511,,,,,,,,,,CASH,,,,,10000,,,,0,20,,,T+1,315513000,0,1,1000000,100,0,10500,9500,1,1,1,0,0,1,0,5e+07,0,0,1000000
